index,ticker,per_end_date,per_type,shares_out
623176,MGTX,2024-03-31,Q,64.31
708826,OBIO,2024-03-31,Q,35.79
708901,OBK,2024-03-31,Q,31.01
610276,MCW,2024-03-31,Q,317.83
618301,MESA,2024-03-31,Q,40.94
712051,ODFL,2024-03-31,Q,217.6
712201,ODP,2024-03-31,Q,36.62
253726,CTMX,2024-03-31,Q,68.14
201676,CHX,2024-03-31,Q,190.4
253801,CTNM,2024-03-31,Q,2.38
612676,MDLZ,2024-03-31,Q,1341.36
253876,CTNT,2024-03-31,Q,1.12
253951,CTO,2024-03-31,Q,22.95
253501,CTM,2024-03-31,Q,53.03
614026,MDV,2024-03-31,Q,9.39
613951,MDU,2024-03-31,Q,203.89
253126,CTKB,2024-03-31,Q,131.26
613201,MDRR,2024-03-31,Q,1.12
253351,CTLP,2024-03-31,Q,72.8
253426,CTLT,2024-03-31,Q,180.98
254026,CTOR,2024-03-31,Q,6.65
611101,MDC,2024-03-31,Q,75.05
611026,MDBH,2024-03-31,Q,42.96
610651,MD,2024-03-31,Q,84.03
610501,MCY,2024-03-31,Q,55.37
610801,MDAI,2024-03-31,Q,17.48
254551,CTRI,2024-03-31,Q,86.66
712651,OESX,2024-03-31,Q,32.56
254101,CTOS,2024-03-31,Q,250.07
712501,OEC,2024-03-31,Q,58.31
611926,MDIA,2024-03-31,Q,25.99
254251,CTRA,2024-03-31,Q,751.85
254476,CTRE,2024-03-31,Q,134.99
201376,CHUY,2024-03-31,Q,17.33
611776,MDGL,2024-03-31,Q,21.28
617026,MELI,2024-03-31,Q,50.7
616726,MEIP,2024-03-31,Q,6.66
251626,CTBI,2024-03-31,Q,18.02
250951,CSV,2024-03-31,Q,15.16
617926,MERC,2024-03-31,Q,66.85
251026,CSWC,2024-03-31,Q,42.98
251101,CSWI,2024-03-31,Q,15.53
616276,MEG,2024-03-31,Q,30.63
202051,CIA,2024-03-31,Q,49.57
711451,OCSL,2024-03-31,Q,81.4
711526,OCTO,2024-03-31,Q,1.71
201976,CI,2024-03-31,Q,292.36
711601,OCUL,2024-03-31,Q,154.73
615151,MEC,2024-03-31,Q,20.36
614626,MDXG,2024-03-31,Q,147.6
252751,CTGO,2024-03-31,Q,9.63
711676,OCX,2024-03-31,Q,8.27
252826,CTHR,2024-03-31,Q,3.03
614776,ME,2024-03-31,Q,24.51
252151,CTCX,2024-03-31,Q,19.36
615676,MEDP,2024-03-31,Q,30.98
615376,MED,2024-03-31,Q,10.94
595951,LXP,2024-03-31,Q,294.29
596776,LYRA,2024-03-31,Q,60.97
577051,LLAP,2024-03-31,Q,201.28
576901,LKQ,2024-03-31,Q,266.78
577276,LLFLQ,2024-03-31,Q,30.67
576601,LKFN,2024-03-31,Q,25.5
272851,DCO,2024-03-31,Q,14.72
576301,LIXT,2024-03-31,Q,2.25
272326,DCGO,2024-03-31,Q,102.96
724426,OPRT,2024-03-31,Q,35.59
724501,OPRX,2024-03-31,Q,18.18
578026,LMB,2024-03-31,Q,11.27
577951,LMAT,2024-03-31,Q,22.45
577501,LLY,2024-03-31,Q,950.41
578326,LMFA,2024-03-31,Q,2.49
273526,DCTH,2024-03-31,Q,27.78
574876,LINK,2024-03-31,Q,
574726,LINE,2024-03-31,Q,
273676,DD,2024-03-31,Q,418.1
725476,OPTX,2024-03-31,Q,36.69
574651,LIND,2024-03-31,Q,53.53
574576,LINC,2024-03-31,Q,31.45
575401,LIPO,2024-03-31,Q,6.25
272926,DCOM,2024-03-31,Q,38.88
576151,LIVN,2024-03-31,Q,54.15
576076,LIVE,2024-03-31,Q,3.16
575701,LITE,2024-03-31,Q,67.4
273226,DCPH,2024-03-31,Q,82.23
575551,LIQT,2024-03-31,Q,5.81
725026,OPTN,2024-03-31,Q,113.04
271801,DC,2024-03-31,Q,87.7
270676,DAWN,2024-03-31,Q,87.38
580426,LNKB,2024-03-31,Q,37.35
270751,DAY,2024-03-31,Q,157.9
