index,ticker,per_end_date,per_type,mkt_val
724951,OPTN,2024-03-31,Q,165.04
723526,OPFI,2024-03-31,Q,277.3
372151,FLNC,2024-03-31,Q,3101.9
723301,OPEN,2024-03-31,Q,2095.48
723226,OPCH,2024-03-31,Q,5829.8
372301,FLNT,2024-03-31,Q,40.38
723151,OPBK,2024-03-31,Q,149.26
372376,FLO,2024-03-31,Q,5014.31
722926,OPAL,2024-03-31,Q,865.86
372601,FLR,2024-03-31,Q,7194.62
722851,OPAD,2024-03-31,Q,221.01
372676,FLS,2024-03-31,Q,6013.97
722626,OOMA,2024-03-31,Q,225.37
723601,OPGN,2024-03-31,Q,8.77
371851,FLL,2024-03-31,Q,192.67
723676,OPHC,2024-03-31,Q,41.33
370651,FKWL,2024-03-31,Q,35.24
370726,FL,2024-03-31,Q,2693.09
724426,OPRX,2024-03-31,Q,220.93
724351,OPRT,2024-03-31,Q,86.47
723751,OPI,2024-03-31,Q,99.46
371701,FLIC,2024-03-31,Q,249.11
723826,OPK,2024-03-31,Q,836.39
371551,FLGT,2024-03-31,Q,648.84
371476,FLGC,2024-03-31,Q,29.61
371326,FLEX,2024-03-31,Q,12049.48
724201,OPOF,2024-03-31,Q,89.13
731251,OSUR,2024-03-31,Q,470.54
731176,OSTX,2024-03-31,Q,
364426,FFIC,2024-03-31,Q,366.55
364501,FFIE,2024-03-31,Q,15.97
364576,FFIN,2024-03-31,Q,4683.69
730876,OSS,2024-03-31,Q,67.69
730726,OSPN,2024-03-31,Q,440.14
730426,OSK,2024-03-31,Q,8156.17
365101,FFNW,2024-03-31,Q,188.63
730276,OSIS,2024-03-31,Q,2434.9
731326,OSW,2024-03-31,Q,1328.01
732526,OTTR,2024-03-31,Q,3603.79
363001,FF,2024-03-31,Q,352.29
363076,FFBC,2024-03-31,Q,2140.52
732301,OTRK,2024-03-31,Q,24.3
732001,OTLK,2024-03-31,Q,262.83
731926,OTLC,2024-03-31,Q,14.35
363676,FFDF,2024-03-31,Q,84.33
731701,OTIS,2024-03-31,Q,40137.13
731551,OTEX,2024-03-31,Q,10595.52
366826,FHI,2024-03-31,Q,3039.82
728551,ORRF,2024-03-31,Q,286.56
367201,FHTX,2024-03-31,Q,285.75
367276,FI,2024-03-31,Q,93510.98
728176,ORN,2024-03-31,Q,269.42
727951,ORLY,2024-03-31,Q,66484.37
367576,FIBK,2024-03-31,Q,2845.39
727726,ORKA,2024-03-31,Q,25.53
367801,FICO,2024-03-31,Q,30879.04
728101,ORMP,2024-03-31,Q,118.32
366676,FHB,2024-03-31,Q,2802.91
729976,OSI,2024-03-31,Q,93.85
365551,FFWM,2024-03-31,Q,426.67
365626,FG,2024-03-31,Q,5115.34
365776,FGBI,2024-03-31,Q,126.92
729601,OSGB,2024-03-31,Q,
365926,FGEN,2024-03-31,Q,233.76
729526,OSG,2024-03-31,Q,448.2
366001,FGF,2024-03-31,Q,39.15
729376,OSCR,2024-03-31,Q,3509.48
728926,OS,2024-03-31,Q,
366526,FGPRQ,2024-03-31,Q,
727501,ORIC,2024-03-31,Q,927.06
729076,OSAPQ,2024-03-31,Q,9.9
729226,OSBC,2024-03-31,Q,620.66
366226,FGI,2024-03-31,Q,14.23
362926,FETM,2024-03-31,Q,109.27
373126,FLWS,2024-03-31,Q,696.75
715801,OKUR,2024-03-31,Q,55.48
379726,FONR,2024-03-31,Q,135.16
715726,OKTA,2024-03-31,Q,17513.09
715426,OKLO,2024-03-31,Q,159.31
715351,OKE,2024-03-31,Q,46790.97
380251,FORD,2024-03-31,Q,6.69
715051,OIS,2024-03-31,Q,395.57
380551,FORM,2024-03-31,Q,3532.59
380626,FORR,2024-03-31,Q,411.95
714826,OII,2024-03-31,Q,2372.51
379576,FOLD,2024-03-31,Q,3489.22
717076,OLPX,2024-03-31,Q,1270.58
717001,OLP,2024-03-31,Q,480.11
716926,OLO,2024-03-31,Q,888.52
716851,OLN,2024-03-31,Q,7021.96
716776,OLMA,2024-03-31,Q,633.17
716701,OLLI,2024-03-31,Q,4876.94
378826,FNWB,2024-03-31,Q,147.79
379051,FOA,2024-03-31,Q,70.98
716326,OLED,2024-03-31,Q,7991.18
716026,OLB,2024-03-31,Q,10.33
380851,FOSL,2024-03-31,Q,53.99
382276,FPI,2024-03-31,Q,534.52
713176,OFS,2024-03-31,Q,133.04
713101,OFLX,2024-03-31,Q,715.97
713026,OFIX,2024-03-31,Q,543.19
382201,FPH,2024-03-31,Q,464.15
712576,OESX,2024-03-31,Q,28.33
712426,OEC,2024-03-31,Q,1371.4
383101,FRAF,2024-03-31,Q,115.07
383251,FRBA,2024-03-31,Q,268.88
713401,OGE,2024-03-31,Q,6878.79
380926,FOUR,2024-03-31,Q,5704.62
714526,OI,2024-03-31,Q,2583.42
381001,FOX,2024-03-31,Q,13398.24
381151,FOXA,2024-03-31,Q,14638.81
381226,FOXF,2024-03-31,Q,2166.93
714226,OHI,2024-03-31,Q,7820.4
381376,FOXO,2024-03-31,Q,3.64
381526,FOXX,2024-03-31,Q,24.17
713476,OGEN,2024-03-31,Q,6.45
381901,FPAY,2024-03-31,Q,32.41
717151,OM,2024-03-31,Q,114.78
713776,OGS,2024-03-31,Q,3650.42
713701,OGN,2024-03-31,Q,4834.81
378301,FNRN,2024-03-31,Q,140.58
720976,ONIT,2024-03-31,Q,209.73
720901,ONFO,2024-03-31,Q,2.45
720751,ONEW,2024-03-31,Q,451.05
720376,ONDS,2024-03-31,Q,63.65
375301,FMNB,2024-03-31,Q,501.61
720151,ONCT,2024-03-31,Q,26.64
721051,ONL,2024-03-31,Q,196.01
373351,FLXS,2024-03-31,Q,192.1
722026,ONVO,2024-03-31,Q,10.38
721876,ONTO,2024-03-31,Q,8922.87
721801,ONTF,2024-03-31,Q,298.63
374401,FMCC,2024-03-31,Q,
373876,FLYX,2024-03-31,Q,336.19
374026,FMAO,2024-03-31,Q,304.58
374176,FMBH,2024-03-31,Q,780.71
374326,FMC,2024-03-31,Q,7950.88
373801,FLYW,2024-03-31,Q,3079.63
719776,ONCO,2024-03-31,Q,3.44
718351,OMIC,2024-03-31,Q,38.1
377176,FNF,2024-03-31,Q,14508.95
718276,OMI,2024-03-31,Q,2119.79
