ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
HELE,2024-02-29,Q,1.8605,0.4065
NKE,2024-02-29,Q,5.0613,0.6281
FEDU,2024-02-29,A,0.4907,0.076
DRI,2024-02-29,Q,8.819,0.7022
ETWO,2024-02-29,Q,-1.7338,0.6649
ETWO,2024-02-29,A,-45.1222,0.6649
WGO,2024-02-29,Q,-0.6289,0.5245
LEDS,2024-02-29,Q,-13.2556,1.2836
KMX,2024-02-29,Q,0.2092,3.0882
SNX,2024-02-29,Q,1.539,0.4948
STZ,2024-02-29,A,8.5088,1.1803
WBA,2024-02-29,Q,-54.2175,0.6235
LEN,2024-02-29,Q,2.4315,0.1057
GIS,2024-02-29,Q,3.2661,1.2913
ACN,2024-02-29,Q,6.0982,0.0065
WDFC,2024-02-29,Q,5.1414,0.5349
LNN,2024-02-29,Q,3.0301,0.2387
MITK,2024-03-31,Q,0.0793,0.6454
LTRPA,2024-03-31,Q,-5.5638,1.0769
MIRM,2024-03-31,Q,-4.6689,1.3079
LVO,2024-03-31,Q,-111.792,5.306
LTRPB,2024-03-31,Q,-5.5638,1.0769
LTRX,2024-03-31,Q,-0.4595,0.2174
LUNR,2024-03-31,Q,24.4938,-0.0165
MIST,2024-03-31,Q,-11.4327,1.2686
MITI,2024-03-31,Q,-0.3171,-0.1267
LVO,2024-03-31,A,-562.595,5.306
LUVU,2024-03-31,Q,-2.2972,0.8442
MITT,2024-03-31,Q,0.3282,10.7981
LUXH,2024-03-31,Q,115.7269,-0.0822
LUV,2024-03-31,Q,-1.2713,0.7848
LUNG,2024-03-31,Q,-9.6484,0.337
LTRY,2024-03-31,Q,-16.6238,0.1943
MIR,2024-03-31,Q,-1.2028,0.4515
LUMN,2024-03-31,Q,0.2985,37.0575
LPG,2024-03-31,A,19.5194,0.5912
MMC,2024-03-31,Q,5.7138,1.0671
MMATQ,2024-03-31,Q,-35.2599,0.1911
MLRT,2024-03-31,Q,6.6666,-0.8047
LPG,2024-03-31,Q,5.0309,0.5912
LPLA,2024-03-31,Q,4.7155,1.6978
LPRO,2024-03-31,Q,1.4532,0.6769
LPSN,2024-03-31,Q,-6.7069,26.6943
LPTH,2024-03-31,Q,-7.9783,0.0424
LPTV,2024-03-31,Q,96.6782,-0.5973
LPX,2024-03-31,Q,5.4481,0.2146
