ticker,per_end_date,per_type,mkt_val
PCH,2024-03-31,Q,3738.48
F,2024-03-31,Q,53018.24
FA,2024-03-31,Q,2355.08
PCG,2024-03-31,Q,48256.68
EZFL,2024-03-31,Q,7.99
FACO,2024-03-31,Q,99.02
PCB,2024-03-31,Q,232.93
FAF,2024-03-31,Q,6332.33
PCLB,2024-03-31,Q,22.28
PCRX,2024-03-31,Q,1359.41
PCOR,2024-03-31,Q,12023.5
EYE,2024-03-31,Q,1740.91
EYEN,2024-03-31,Q,50.24
PCAR,2024-03-31,Q,64936.38
PETV,2024-03-31,Q,17.94
PET,2024-03-31,Q,79.88
PESI,2024-03-31,Q,162.55
EVC,2024-03-31,Q,146.81
EVCM,2024-03-31,Q,1754.01
EVBN,2024-03-31,Q,164.54
PFG,2024-03-31,Q,20229.64
PFC,2024-03-31,Q,727.01
PFBX,2024-03-31,Q,72.26
ETWO,2024-03-31,Q,1512.53
PEV,2024-03-31,Q,27.75
PECO,2024-03-31,Q,4390.49
PEBO,2024-03-31,Q,1050.95
EVR,2024-03-31,Q,7417.91
PEBK,2024-03-31,Q,151.95
PEB,2024-03-31,Q,1856.96
EVRG,2024-03-31,Q,12263.84
EVRI,2024-03-31,Q,841.97
PDYN,2024-03-31,Q,48.15
PDSB,2024-03-31,Q,145.25
EVTC,2024-03-31,Q,2569.94
PEP,2024-03-31,Q,240601.27
EVEX,2024-03-31,Q,1454.57
PENN,2024-03-31,Q,2765.5
PENG,2024-03-31,Q,1376.46
PEN,2024-03-31,Q,8651.55
EVH,2024-03-31,Q,3759.63
PEGY,2024-03-31,Q,4.36
PEG,2024-03-31,Q,33261.81
EVI,2024-03-31,Q,315.59
FALC,2024-03-31,Q,15.2
FCX,2024-03-31,Q,67445.91
FDBC,2024-03-31,Q,281.2
PACK,2024-03-31,Q,653.16
PACB,2024-03-31,Q,1021.29
FCFS,2024-03-31,Q,5799.67
PALI,2024-03-31,Q,5.1
PAHC,2024-03-31,Q,523.7
FCNCA,2024-03-31,Q,23756.12
PAGP,2024-03-31,Q,3599.85
PAG,2024-03-31,Q,10833.77
OWLT,2024-03-31,Q,38.64
FEMY,2024-03-31,Q,34.25
OWL,2024-03-31,Q,26947.24
FENC,2024-03-31,Q,301.35
OVV,2024-03-31,Q,13856.3
OVID,2024-03-31,Q,215.97
FET,2024-03-31,Q,245.43
FETM,2024-03-31,Q,109.27
OVBC,2024-03-31,Q,117.21
PAA,2024-03-31,Q,12310.81
FDS,2024-03-31,Q,17319.46
OZK,2024-03-31,Q,5156.75
OZ,2024-03-31,Q,227.22
FDUS,2024-03-31,Q,620.35
FDX,2024-03-31,Q,71299.44
PANL,2024-03-31,Q,325.65
FEDU,2024-03-31,Q,22.86
FEAM,2024-03-31,Q,84.8
FE,2024-03-31,Q,22226.45
OXY,2024-03-31,Q,57611.34
OXM,2024-03-31,Q,1757.97
FCF,2024-03-31,Q,1422.61
PBLA,2024-03-31,Q,2.33
PBIO,2024-03-31,Q,5.89
FBIO,2024-03-31,Q,38.47
PBI,2024-03-31,Q,774.53
FBIZ,2024-03-31,Q,310.83
PBHC,2024-03-31,Q,58.43
PBH,2024-03-31,Q,3602.55
PBFS,2024-03-31,Q,256.77
FBIN,2024-03-31,Q,10590.41
FANG,2024-03-31,Q,35342.38
PBYI,2024-03-31,Q,255.67
FARM,2024-03-31,Q,75.24
FAST,2024-03-31,Q,44166.31
FAT,2024-03-31,Q,119.56
PBPB,2024-03-31,Q,361.38
FARO,2024-03-31,Q,413.12
FBMS,2024-03-31,Q,810.11
FCAP,2024-03-31,Q,95.75
FCBC,2024-03-31,Q,635.58
PARR,2024-03-31,Q,2199.16
FCCO,2024-03-31,Q,132.97
PARAA,2024-03-31,Q,14243.75
PARA,2024-03-31,Q,7844.45
FCEL,2024-03-31,Q,537.72
PAR,2024-03-31,Q,1541.41
PAPL,2024-03-31,Q,10.27
FC,2024-03-31,Q,520.82
PAVM,2024-03-31,Q,20.18
FBYD,2024-03-31,Q,1408.49
PBBK,2024-03-31,Q,33.93
PAYX,2024-03-31,Q,44203.5
PANW,2024-03-31,Q,91802.41
FBRT,2024-03-31,Q,1093.78
SAIC,2024-03-31,Q,6685.21
SAIA,2024-03-31,Q,15554.07
CSCO,2024-03-31,Q,202094.92
SAH,2024-03-31,Q,1929.76
SAMG,2024-03-31,Q,219.92
SASR,2024-03-31,Q,1043.01
SAR,2024-03-31,Q,316.76
CRWD,2024-03-31,Q,77540.67
SANW,2024-03-31,Q,20.95
SANM,2024-03-31,Q,3448.1
CRWS,2024-03-31,Q,52.23
RZLV,2024-03-31,Q,89.29
RYTM,2024-03-31,Q,2641.96
CSPI,2024-03-31,Q,179.32
RYN,2024-03-31,Q,4948.67
CSR,2024-03-31,Q,852.08
RYI,2024-03-31,Q,1150.25
CSSEQ,2024-03-31,Q,5.07
RYAM,2024-03-31,Q,313.29
CSGP,2024-03-31,Q,39445.87
CSGS,2024-03-31,Q,1513.39
SAFE,2024-03-31,Q,1468.95
CSL,2024-03-31,Q,18652.78
SABS,2024-03-31,Q,41.88
SACH,2024-03-31,Q,211.61
SBSAA,2024-03-31,Q,2.74
SBRA,2024-03-31,Q,3419.19
CRGY,2024-03-31,Q,2110.55
CRH,2024-03-31,Q,59232.8
CRI,2024-03-31,Q,3090.7
CRKN,2024-03-31,Q,3.1
CRL,2024-03-31,Q,13957.09
SBSI,2024-03-31,Q,885.22
CREX,2024-03-31,Q,39.38
SBT,2024-03-31,Q,268.56
CRS,2024-03-31,Q,3543.02
SAVE,2024-03-31,Q,529.99
CRSR,2024-03-31,Q,1282.19
SATS,2024-03-31,Q,3869.2
SBIG,2024-03-31,Q,7.3
CRM,2024-03-31,Q,292144.59
SBH,2024-03-31,Q,1302.65
SBGI,2024-03-31,Q,890.1
CRMT,2024-03-31,Q,408.26
SBFG,2024-03-31,Q,93.53
CRNC,2024-03-31,Q,656.38
CROX,2024-03-31,Q,8729.02
SBC,2024-03-31,Q,63.53
SBEV,2024-03-31,Q,20.76
SBCF,2024-03-31,Q,2156.5
SCCO,2024-03-31,Q,82352.44
CUK,2024-03-31,Q,2764.46
CULL,2024-03-31,Q,72.29
RSI,2024-03-31,Q,1464.28
RSG,2024-03-31,Q,60290.66
CUEN,2024-03-31,Q,0.82
RRX,2024-03-31,Q,11977.08
CURV,2024-03-31,Q,509.21
CTV,2024-03-31,Q,348.94
CTVA,2024-03-31,Q,40194.61
RSVR,2024-03-31,Q,514.04
CUE,2024-03-31,Q,91.94
CUBE,2024-03-31,Q,10173.25
CUBI,2024-03-31,Q,1670.59
RRR,2024-03-31,Q,6316.77
CUTR,2024-03-31,Q,29.32
RPID,2024-03-31,Q,41.51
CVI,2024-03-31,Q,3584.9
RPD,2024-03-31,Q,3053.65
RPAY,2024-03-31,Q,1006.43
RPM,2024-03-31,Q,15316.36
CVLG,2024-03-31,Q,606.0
CVM,2024-03-31,Q,103.1
CVNA,2024-03-31,Q,17807.64
CVGW,2024-03-31,Q,495.02
