ticker,per_end_date,per_type,shares_out
GLPI,2024-03-31,Q,271.5
GLRE,2024-03-31,Q,35.32
SINT,2024-03-31,Q,0.26
HBNC,2024-03-31,Q,44.11
SERA,2024-03-31,Q,32.57
SITE,2024-03-31,Q,45.21
GIGAQ,2024-03-31,Q,7.93
SEM,2024-03-31,Q,128.36
SJW,2024-03-31,Q,32.23
GILD,2024-03-31,Q,1245.08
HCMC,2024-03-31,Q,479266.63
GIFI,2024-03-31,Q,16.2
SELF,2024-03-31,Q,11.26
SEI,2024-03-31,Q,44.02
GHI,2024-03-31,Q,23.02
HCWB,2024-03-31,Q,37.82
GHLD,2024-03-31,Q,61.1
GHM,2024-03-31,Q,10.83
SKGR,2024-03-31,Q,15.3
GLDD,2024-03-31,Q,66.74
SENEA,2024-03-31,Q,7.12
GIPR,2024-03-31,Q,5.42
HCKT,2024-03-31,Q,27.58
SEMR,2024-03-31,Q,144.73
HCI,2024-03-31,Q,10.28
GKOS,2024-03-31,Q,50.19
GL,2024-03-31,Q,94.04
GLAD,2024-03-31,Q,21.75
FLIC,2024-03-31,Q,22.46
DNMR,2024-03-31,Q,114.24
DOC,2024-03-31,Q,703.78
DNUT,2024-03-31,Q,168.73
TCBX,2024-03-31,Q,13.61
DM,2024-03-31,Q,33.02
DMRC,2024-03-31,Q,21.37
DNA,2024-03-31,Q,50.84
TCMD,2024-03-31,Q,23.76
DMTKQ,2024-03-31,Q,34.62
DMSLQ,2024-03-31,Q,4.44
TCBS,2024-03-31,Q,3.19
DOCN,2024-03-31,Q,91.19
TBNK,2024-03-31,Q,8.83
DPZ,2024-03-31,Q,34.88
TBMC,2024-03-31,Q,9.02
DRCT,2024-03-31,Q,14.27
TBLA,2024-03-31,Q,295.07
TBRG,2024-03-31,Q,14.65
TCBC,2024-03-31,Q,4.32
TCBI,2024-03-31,Q,46.65
TCBK,2024-03-31,Q,33.17
DOGZ,2024-03-31,Q,1.51
DOW,2024-03-31,Q,703.21
DOV,2024-03-31,Q,137.43
DORM,2024-03-31,Q,31.03
DLX,2024-03-31,Q,44.05
TCPC,2024-03-31,Q,85.59
DHX,2024-03-31,Q,48.03
DHR,2024-03-31,Q,740.69
DIN,2024-03-31,Q,15.4
TEAM,2024-03-31,Q,260.3
DHC,2024-03-31,Q,240.42
TELA,2024-03-31,Q,24.65
DGICA,2024-03-31,Q,33.39
TELO,2024-03-31,Q,29.61
TEL,2024-03-31,Q,306.23
DGICB,2024-03-31,Q,33.39
DGII,2024-03-31,Q,36.38
DH,2024-03-31,Q,117.79
DGX,2024-03-31,Q,111.09
DGLY,2024-03-31,Q,2.88
TDY,2024-03-31,Q,47.38
TBIO,2024-03-31,Q,1.67
DLHC,2024-03-31,Q,14.23
DLAPQ,2024-03-31,Q,7.05
TCX,2024-03-31,Q,10.83
TCRX,2024-03-31,Q,47.9
TCS,2024-03-31,Q,3.44
DLPN,2024-03-31,Q,9.33
DKNG,2024-03-31,Q,869.08
DKL,2024-03-31,Q,47.21
TDC,2024-03-31,Q,96.7
TDS,2024-03-31,Q,113.0
DIS,2024-03-31,Q,1873.0
TDUP,2024-03-31,Q,110.22
TDW,2024-03-31,Q,52.27
DIOD,2024-03-31,Q,46.18
