ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
DY,Dycom Industries,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-17.5,0.79
DY,Dycom Industries,NYSE,2024-01-31,A,2024-03-01,10-K,8.0,-17.5,7.37
PNST,"Pinstripes Holdings, Inc.",NYSE,2024-01-31,Q,2024-02-21,10-Q,2.0,41.564,0.33
DTGI,Digerati Technologies,NASDAQ Other OTC,2024-01-31,Q,2024-03-22,10-Q,10.0,-0.355,-0.02
SGMA,SigmaTron International,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,10.0,-0.7573,0.1
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,Q,2024-04-26,10-Q,7.0,-1.844,1.07
IOT,Samsara Inc.,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,-2.205,-0.22
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-0.96,12.18
PVH,PVH,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-111.9,10.76
RCAT,Red Cat,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,16.0,-0.4238,-0.1
ROST,Ross Stores,NASDAQ,2024-01-31,Q,2024-04-02,10-Q,3.0,2211.017,1.82
ROST,Ross Stores,NASDAQ,2024-01-31,A,2024-04-02,10-K,3.0,2211.017,5.56
CSCO,Cisco Systems,NASDAQ,2024-01-31,Q,2024-02-20,10-Q,10.0,1787.0,0.65
RENT,Rent the Runway,NASDAQ,2024-01-31,A,2024-04-11,10-K,3.0,306.7,-33.12
ZUO,Zuora,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,145.861,-0.49
RENT,Rent the Runway,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,3.0,306.7,-7.05
ZUO,Zuora,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,145.861,-0.15
REVG,REV Group,NYSE,2024-01-31,Q,2024-03-06,10-Q,15.0,-150.0,3.06
CVGW,Calavo Growers,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,1.0,-0.495,-0.35
RFIL,RF Industries,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,-1.106,-0.13
RFL,Rafael Holdings,NYSE,2024-01-31,Q,2024-03-14,10-Q,4.0,-0.8,0.25
