ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
WOR,2024-02-29,Q,1.815,0.3258
FC,2024-02-29,Q,1.1666,0.1574
ARTW,2024-02-29,Q,-2.9245,0.7631
WS,2024-02-29,Q,4.8958,0.1375
MKC.V,2024-02-29,Q,1.6852,0.8478
PENG,2024-02-29,Q,-1.1289,1.7999
OTEX,2024-03-31,Q,0.7906,2.0218
OVV,2024-03-31,Q,2.1508,0.604
OWL,2024-03-31,Q,2.1659,0.4007
ESI,2024-03-31,Q,1.3151,0.8252
OSUR,2024-03-31,Q,-0.8404,0.0017
PBAM,2024-03-31,Q,4.0632,0.3657
OXY,2024-03-31,Q,1.4259,0.6377
OPFI,2024-03-31,Q,5.135,1.5258
OPHC,2024-03-31,Q,2.8623,0.6425
EQT,2024-03-31,Q,0.5135,0.3628
OSW,2024-03-31,Q,3.236,0.2688
EOSE,2024-03-31,Q,-85.7043,-1.3925
OPGN,2024-03-31,Q,-2.6638,-1.0102
ESGR,2024-03-31,Q,1.6891,0.3188
ES,2024-03-31,Q,1.3268,1.9182
OTLC,2024-03-31,Q,-3.5297,1.1462
OVBC,2024-03-31,Q,1.4139,0.3551
OTRK,2024-03-31,Q,-19.4979,0.0761
PAVM,2024-03-31,Q,89.9733,-2.2134
ERNA,2024-03-31,Q,-144.2634,-2.3488
EVH,2024-03-31,Q,-0.9457,0.4864
OPBK,2024-03-31,Q,2.6838,0.5392
OTTR,2024-03-31,Q,3.0454,0.6301
OTTW,2024-03-31,Q,0.615,0.6616
OUST,2024-03-31,Q,-11.2919,0.2629
ESAB,2024-03-31,Q,2.3514,0.5901
OUT,2024-03-31,Q,-0.815,4.3229
ESCA,2024-03-31,Q,0.8408,0.325
OPEN,2024-03-31,Q,-3.2921,2.683
OTLK,2024-03-31,Q,85.1402,-0.3333
OPCH,2024-03-31,Q,1.8021,0.7433
OPAL,2024-03-31,Q,-0.3622,-0.5195
ESE,2024-03-31,Q,1.7361,0.1638
EOLS,2024-03-31,Q,-9.4256,6.541
ENVX,2024-03-31,Q,-11.6132,0.7616
EOG,2024-03-31,Q,5.5228,0.1324
OVID,2024-03-31,Q,-12.6137,0.2005
OZ,2024-03-31,Q,-0.974,0.2701
PAGP,2024-03-31,Q,1.5145,0.5284
PAMT,2024-03-31,Q,0.0527,0.8631
EPRT,2024-03-31,Q,0.9584,0.514
PANL,2024-03-31,Q,2.1643,0.679
ORBT,2024-03-31,Q,-4.1981,0.0135
ESSA,2024-03-31,Q,1.9534,2.1379
ORA,2024-03-31,Q,0.9393,0.864
OSBC,2024-03-31,Q,3.128,0.5682
EPM,2024-03-31,Q,0.2294,0.5093
PAR,2024-03-31,Q,-2.0218,0.7184
ESS,2024-03-31,Q,2.3226,1.1449
ORRF,2024-03-31,Q,2.8082,0.586
