ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
WMT,Walmart,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,750.0,0.6733
WMT,Walmart,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,750.0,1.91
LE,Land's End,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,-91.863,-0.27
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-462.0,2.54
BBY,Best Buy,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-19.0,5.68
HOFT,Hooker Furniture,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,2.0,-1.4,0.06
MTN,Vail Resorts,NYSE,2024-01-31,Q,2024-03-11,10-Q,2.0,-31.25,5.76
HOFT,Hooker Furniture,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-1.4,0.91
OOMA,Ooma,NYSE,2024-01-31,A,2024-04-02,10-K,10.0,16.0,-0.03
CNM,Core & Main,NYSE,2024-01-31,A,2024-03-19,10-K,7.0,415.0,2.15
OOMA,Ooma,NYSE,2024-01-31,Q,2024-04-02,10-Q,10.0,16.0,-0.12
WOOF,Petco Health and Wellness Co.,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,-80.925,-0.09
THO,Thor Industries,NYSE,2024-01-31,Q,2024-03-06,10-Q,8.0,-71.988,0.13
WOOF,Petco Health and Wellness Co.,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,-80.925,-4.78
BBY,Best Buy,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-19.0,2.11
CNM,Core & Main,NYSE,2024-01-31,Q,2024-03-19,10-Q,7.0,415.0,0.34
TTC,Toro,NYSE,2024-01-31,Q,2024-03-07,10-Q,2.0,1179.8,0.62
GCO,Genesco,NYSE,2024-01-31,Q,2024-03-27,10-Q,3.0,34.682,2.29
CRMT,America's CarMart,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-394.45,-1.34
KIRK,Kirkland's,NASDAQ,2024-01-31,Q,2024-03-29,10-Q,3.0,34.0,0.8
GCO,Genesco,NYSE,2024-01-31,A,2024-03-27,10-K,3.0,34.682,-1.5
TOL,Toll Brothers,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-145.613,2.25
ZDGE,Zedge,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-15,10-Q,10.0,-2.0,-0.66
KIRK,Kirkland's,NASDAQ,2024-01-31,A,2024-03-29,10-K,3.0,34.0,-2.16
CVGW,Calavo Growers,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,1.0,-0.495,-0.35
VIRC,Virco Manufacturing,NASDAQ,2024-01-31,Q,2024-04-12,10-Q,2.0,-17.36,-0.14
BIGGQ,Big Lots,NASDAQ Other OTC,2024-01-31,Q,2024-04-18,10-Q,3.0,-0.695,-1.03
VIRC,Virco Manufacturing,NASDAQ,2024-01-31,A,2024-04-12,10-K,2.0,-17.36,1.34
AXR,AMREP,NYSE,2024-01-31,Q,2024-03-08,10-Q,13.0,-0.007,0.02
INTU,Intuit,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,10.0,-244.0,1.25
NX,Quanex Building Products,NYSE,2024-01-31,Q,2024-03-08,10-Q,8.0,-0.679,0.19
ODC,OilDri Corp. of America,NYSE,2024-01-31,Q,2024-03-07,10-Q,6.0,30.851,1.7
MAYS,J. W. Mays,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,13.0,-0.6467,-0.04
CURV,Torrid Holdings,NYSE,2024-01-31,Q,2024-04-02,10-Q,3.0,-18.61,-0.03
CURV,Torrid Holdings,NYSE,2024-01-31,A,2024-04-02,10-K,3.0,-18.61,0.11
CBRL,Cracker Barrel Old Country Store,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,3.0,36.5,1.19
BIGGQ,Big Lots,NASDAQ Other OTC,2024-01-31,A,2024-04-18,10-K,3.0,-0.695,-16.53
M,Macy's,NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-2.0,0.38
M,Macy's,NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-2.0,-0.25
PLAB,Photronics,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,-1.194,0.42
PLAY,Dave & Buster's Entertainment,NASDAQ,2024-01-31,A,2024-04-02,10-K,3.0,131.4,2.88
PLAY,Dave & Buster's Entertainment,NASDAQ,2024-01-31,Q,2024-04-02,10-Q,3.0,131.4,0.95
GES,Guess,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-47.707,3.09
GES,Guess,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-47.707,1.9
RCAT,Red Cat,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,16.0,-0.4238,-0.1
PLCE,The Childrens Place,NASDAQ,2024-01-31,A,2024-05-06,10-K,3.0,49.818,-12.36
CDMO,Avid Bioservices,NASDAQ,2024-01-31,Q,2024-04-24,10-Q,4.0,6.851,-0.09
PLCE,The Childrens Place,NASDAQ,2024-01-31,Q,2024-05-06,10-Q,3.0,49.818,-10.26
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,A,2024-04-24,10-K,1.0,-2.674,0.17
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,Q,2024-04-24,10-Q,1.0,-2.674,0.03
YYAI,Connexa Sports Technologies Inc.,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,2.0,1.7278,-285.8
CRM,Salesforce,NYSE,2024-01-31,A,2024-03-06,10-K,10.0,-1811.0,4.2
CRM,Salesforce,NYSE,2024-01-31,Q,2024-03-06,10-Q,10.0,-1811.0,1.47
CIEN,Ciena,NYSE,2024-01-31,Q,2024-03-07,10-Q,10.0,-0.981,0.34
LZB,LaZBoy,NYSE,2024-01-31,Q,2024-02-20,10-Q,2.0,-0.346,0.66
HSCS,HeartSciences Inc.,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,4.0,0.1167,-3.0
GMS,GMS,NYSE,2024-01-31,Q,2024-02-29,10-Q,3.0,-112.17,1.28
OCC,Optical Cable,NASDAQ,2024-01-31,Q,2024-03-13,10-Q,10.0,-0.8813,-0.18
GME,GameStop,NYSE,2024-01-31,Q,2024-03-26,10-Q,2.0,17.7,0.21
GME,GameStop,NYSE,2024-01-31,A,2024-03-26,10-K,2.0,17.7,0.02
MDB,MongoDB,NASDAQ,2024-01-31,A,2024-03-15,10-K,10.0,-5.483,-2.48
KFY,KornFerry International,NYSE,2024-01-31,Q,2024-03-08,10-Q,16.0,-1.361,1.13
NIMU,NonInvasive Monitoring Systems,NASDAQ Other OTC,2024-01-31,Q,2024-03-15,10-Q,4.0,0.5,0.0
ZUO,Zuora,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,145.861,-0.49
ZUO,Zuora,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,145.861,-0.15
MEI,Methode Electronics,NYSE,2024-01-31,Q,2024-03-07,10-Q,10.0,25.5,-0.33
KEYS,Keysight Technologies,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,1208.0,0.98
SRCO,Sparta Commercial Services,NASDAQ Other OTC,2024-01-31,Q,2024-06-14,10-Q,13.0,0.254,-0.004
PNST,"Pinstripes Holdings, Inc.",NYSE,2024-01-31,Q,2024-02-21,10-Q,2.0,41.564,0.33
MDT,Medtronic,NYSE,2024-01-31,Q,2024-02-27,10-Q,4.0,24153.0,0.99
KEQU,Kewaunee Scientific,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,10.0,-0.352,0.85
A,Agilent Technologies,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,-180.0,1.18
ASO,Academy Sports and Outdoors,NASDAQ,2024-01-31,Q,2024-03-21,10-Q,2.0,-103.0,2.19
ASO,Academy Sports and Outdoors,NASDAQ,2024-01-31,A,2024-03-21,10-K,2.0,-103.0,6.7
MDB,MongoDB,NASDAQ,2024-01-31,Q,2024-03-15,10-Q,10.0,-5.483,-0.77
ABM,ABM Industries,NYSE,2024-01-31,Q,2024-03-07,10-Q,16.0,15.9,0.7
ASAN,Asana,NYSE,2024-01-31,A,2024-03-14,10-K,10.0,-3.125,-1.17
ASAN,Asana,NYSE,2024-01-31,Q,2024-03-14,10-Q,10.0,-3.125,-0.28
FL,Foot Locker,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-6.0,-3.51
FL,Foot Locker,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-6.0,-4.14
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,Q,2024-04-26,10-Q,7.0,-1.844,1.07
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,A,2024-04-26,10-K,7.0,-1.844,1.3
GIII,GIII Apparel Group,NASDAQ,2024-01-31,A,2024-03-25,10-K,2.0,-82.667,3.75
GIII,GIII Apparel Group,NASDAQ,2024-01-31,Q,2024-03-25,10-Q,2.0,-82.667,0.59
CRWD,CrowdStrike,NASDAQ,2024-01-31,A,2024-03-07,10-K,10.0,742.494,0.37
CRWD,CrowdStrike,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,742.494,0.23
TPET,Trio Petroleum Corp.,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-18,10-Q,12.0,0.175,-0.05
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,A,2024-04-04,10-K,3.0,38.54,-0.77
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,Q,2024-04-04,10-Q,3.0,38.54,-0.22
OKTA,Okta,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,10.0,-937.0,-0.26
NVDA,NVIDIA,NASDAQ,2024-01-31,A,2024-02-21,10-K,10.0,-1250.0,1.193
DAKT,Daktronics,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,10.0,21.678,0.09
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-04-08,10-Q,2.0,-0.3244,-0.02
HQY,HealthEquity,NASDAQ,2024-01-31,A,2024-03-22,10-K,4.0,-54.375,0.64
VLGEA,Village Super Market,NASDAQ,2024-01-31,Q,2024-03-06,10-Q,3.0,-5.387,0.75
BURL,Burlington Stores,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-99.064,3.51
IHT,InnSuites Hospitality Trust,NYSE MKT (ex. AMEX),2024-01-31,A,2024-04-08,10-K,2.0,-0.3244,0.02
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,Q,2024-04-30,10-Q,4.0,-0.75,-0.4498
NVDA,NVIDIA,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,-1250.0,0.491
BNED,Barnes & Noble Education,NYSE,2024-01-31,Q,2024-03-12,10-Q,2.0,30.191,-18.0
SNPS,Synopsys,NASDAQ,2024-01-31,Q,2024-02-23,10-Q,10.0,-1.303,2.89
GEF,Greif,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,109.9,1.4
PHR,Phreesia,NYSE,2024-01-31,A,2024-03-15,10-K,4.0,-5.691,-2.51
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,A,2024-04-30,10-K,4.0,-0.75,-4.9475
GEF.B,Greif Bros.,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,109.9,1.4
HQY,HealthEquity,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,4.0,-54.375,0.3
ADI,Analog Devices,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,5946.673,0.93
OKTA,Okta,NASDAQ,2024-01-31,A,2024-03-01,10-K,10.0,-937.0,-2.17
ESTC,Elastic,NYSE,2024-01-31,Q,2024-03-01,10-Q,10.0,568.341,1.69
IOT,Samsara Inc.,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,-2.205,-0.54
IOT,Samsara Inc.,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,-2.205,-0.22
HPQ,HP,NYSE,2024-01-31,Q,2024-02-28,10-Q,10.0,43.0,0.62
HRL,Hormel Foods,NYSE,2024-01-31,Q,2024-02-29,10-Q,1.0,-2.249,0.4
PHR,Phreesia,NYSE,2024-01-31,Q,2024-03-15,10-Q,4.0,-5.691,-0.55
QEPC,Q.E.P. Co.,NASDAQ Other OTC,2024-02-29,A,2024-06-13,10-K,2.0,-7.358,-1.4
STZ,Constellation Brands,NYSE,2024-02-29,Q,2024-04-23,10-Q,1.0,334.7,2.1501
PAYX,Paychex,NASDAQ,2024-02-29,Q,2024-04-02,10-Q,16.0,798.5,1.38
QEPC,Q.E.P. Co.,NASDAQ Other OTC,2024-02-29,Q,2024-06-13,10-Q,2.0,-7.358,-0.43
KMX,CarMax,NYSE,2024-02-29,A,2024-04-15,10-K,3.0,378.7402,3.02
LEDS,SemiLEDS,NASDAQ,2024-02-29,Q,2024-04-12,10-Q,10.0,-0.231,-0.11
WGO,Winnebago Industries,NYSE,2024-02-29,Q,2024-03-21,10-Q,8.0,49.3001,-0.43
