ticker,per_end_date,per_type,mkt_val
FPH,2024-03-31,Q,464.15
FPAY,2024-03-31,Q,32.41
OHI,2024-03-31,Q,7820.4
OOMA,2024-03-31,Q,225.37
ONL,2024-03-31,Q,196.01
ONIT,2024-03-31,Q,209.73
ONFO,2024-03-31,Q,2.45
ONEW,2024-03-31,Q,451.05
ONDS,2024-03-31,Q,63.65
FMNB,2024-03-31,Q,501.61
FLYX,2024-03-31,Q,336.19
FMBH,2024-03-31,Q,780.71
ONTF,2024-03-31,Q,298.63
FMC,2024-03-31,Q,7950.88
FMAO,2024-03-31,Q,304.58
OMIC,2024-03-31,Q,38.1
OMI,2024-03-31,Q,2119.79
FNKO,2024-03-31,Q,332.21
FNLC,2024-03-31,Q,274.25
OMF,2024-03-31,Q,6121.03
OMEX,2024-03-31,Q,76.68
OMER,2024-03-31,Q,199.91
OMGA,2024-03-31,Q,201.32
FNF,2024-03-31,Q,14508.95
ONCO,2024-03-31,Q,3.44
FNA,2024-03-31,Q,1023.89
FNB,2024-03-31,Q,5066.57
ONB,2024-03-31,Q,5107.8
ON,2024-03-31,Q,31643.56
FND,2024-03-31,Q,13870.88
PURE,2024-03-31,Q,11.07
OUST,2024-03-31,Q,357.13
OUT,2024-03-31,Q,2785.14
PCYO,2024-03-31,Q,228.84
EXE,2024-03-31,Q,11641.04
EXFY,2024-03-31,Q,159.13
EXLS,2024-03-31,Q,5165.53
PCT,2024-03-31,Q,1022.84
EXP,2024-03-31,Q,9361.79
EXC,2024-03-31,Q,37570.95
EXAS,2024-03-31,Q,12696.69
PDM,2024-03-31,Q,870.96
EVTV,2024-03-31,Q,41.91
PDLB,2024-03-31,Q,211.92
EW,2024-03-31,Q,57584.45
EWBC,2024-03-31,Q,11005.77
EWCZ,2024-03-31,Q,789.54
PD,2024-03-31,Q,2167.93
PDEX,2024-03-31,Q,61.8
PDCO,2024-03-31,Q,2477.22
EXPE,2024-03-31,Q,18773.74
PCRX,2024-03-31,Q,1359.41
PCH,2024-03-31,Q,3738.48
EZFL,2024-03-31,Q,7.99
PCG,2024-03-31,Q,48256.68
EZPW,2024-03-31,Q,622.5
F,2024-03-31,Q,53018.24
FA,2024-03-31,Q,2355.08
FACO,2024-03-31,Q,99.02
PCB,2024-03-31,Q,232.93
PCAR,2024-03-31,Q,64936.38
EXR,2024-03-31,Q,31108.2
PCOR,2024-03-31,Q,12023.5
EXTR,2024-03-31,Q,1499.59
EYE,2024-03-31,Q,1740.91
PCLB,2024-03-31,Q,22.28
EYEN,2024-03-31,Q,50.24
PETV,2024-03-31,Q,17.94
PET,2024-03-31,Q,79.88
PESI,2024-03-31,Q,162.55
EVBN,2024-03-31,Q,164.54
EVC,2024-03-31,Q,146.81
EVCM,2024-03-31,Q,1754.01
PFE,2024-03-31,Q,157135.53
ETR,2024-03-31,Q,22535.52
PFC,2024-03-31,Q,727.01
PFBX,2024-03-31,Q,72.26
ETSY,2024-03-31,Q,8035.61
ETWO,2024-03-31,Q,1512.53
PEV,2024-03-31,Q,27.75
PEP,2024-03-31,Q,240601.27
PEBO,2024-03-31,Q,1050.95
PEBK,2024-03-31,Q,151.95
PEB,2024-03-31,Q,1856.96
EVR,2024-03-31,Q,7417.91
PECO,2024-03-31,Q,4390.49
EVRG,2024-03-31,Q,12263.84
EVRI,2024-03-31,Q,841.97
PDYN,2024-03-31,Q,48.15
PDSB,2024-03-31,Q,145.25
EVTC,2024-03-31,Q,2569.94
EVEX,2024-03-31,Q,1454.57
PENN,2024-03-31,Q,2765.5
PENG,2024-03-31,Q,1376.46
PEN,2024-03-31,Q,8651.55
PEG,2024-03-31,Q,33261.81
EVH,2024-03-31,Q,3759.63
EVI,2024-03-31,Q,315.59
FAF,2024-03-31,Q,6332.33
FCX,2024-03-31,Q,67445.91
FDBC,2024-03-31,Q,281.2
PACB,2024-03-31,Q,1021.29
PACK,2024-03-31,Q,653.16
FCPT,2024-03-31,Q,2250.91
PAMT,2024-03-31,Q,357.18
FCFS,2024-03-31,Q,5799.67
PALI,2024-03-31,Q,5.1
PAHC,2024-03-31,Q,523.7
PAGP,2024-03-31,Q,3599.85
PAG,2024-03-31,Q,10833.77
FCNCA,2024-03-31,Q,23756.12
PAA,2024-03-31,Q,12310.81
FELE,2024-03-31,Q,4921.83
OWL,2024-03-31,Q,26947.24
FEMY,2024-03-31,Q,34.25
OVV,2024-03-31,Q,13856.3
FENC,2024-03-31,Q,301.35
OVID,2024-03-31,Q,215.97
OVBC,2024-03-31,Q,117.21
FET,2024-03-31,Q,245.43
FETM,2024-03-31,Q,109.27
FFBC,2024-03-31,Q,2140.52
OWLT,2024-03-31,Q,38.64
FDP,2024-03-31,Q,1241.04
OZK,2024-03-31,Q,5156.75
FDS,2024-03-31,Q,17319.46
OZ,2024-03-31,Q,227.22
OXY,2024-03-31,Q,57611.34
FDUS,2024-03-31,Q,620.35
FEDU,2024-03-31,Q,22.86
FEAM,2024-03-31,Q,84.8
OXM,2024-03-31,Q,1757.97
FE,2024-03-31,Q,22226.45
FDX,2024-03-31,Q,71299.44
FCF,2024-03-31,Q,1422.61
PBLA,2024-03-31,Q,2.33
PBIO,2024-03-31,Q,5.89
PBI,2024-03-31,Q,774.53
PBHC,2024-03-31,Q,58.43
FBIN,2024-03-31,Q,10590.41
PBH,2024-03-31,Q,3602.55
FBIO,2024-03-31,Q,38.47
FBIZ,2024-03-31,Q,310.83
FBK,2024-03-31,Q,1766.13
PBFS,2024-03-31,Q,256.77
PBF,2024-03-31,Q,6825.73
FALC,2024-03-31,Q,15.2
PBYI,2024-03-31,Q,255.67
FANG,2024-03-31,Q,35342.38
FARO,2024-03-31,Q,413.12
FAST,2024-03-31,Q,44166.31
FAT,2024-03-31,Q,119.56
PBPB,2024-03-31,Q,361.38
FARM,2024-03-31,Q,75.24
FC,2024-03-31,Q,520.82
FCAP,2024-03-31,Q,95.75
PARR,2024-03-31,Q,2199.16
FCBC,2024-03-31,Q,635.58
PARAA,2024-03-31,Q,14243.75
FCCO,2024-03-31,Q,132.97
PARA,2024-03-31,Q,7844.45
PAR,2024-03-31,Q,1541.41
PAPL,2024-03-31,Q,10.27
PANW,2024-03-31,Q,91802.41
FCEL,2024-03-31,Q,537.72
PANL,2024-03-31,Q,325.65
FBYD,2024-03-31,Q,1408.49
PATK,2024-03-31,Q,2676.29
PBBK,2024-03-31,Q,33.93
FBMS,2024-03-31,Q,810.11
FBNC,2024-03-31,Q,1485.77
PAYX,2024-03-31,Q,44203.5
FBP,2024-03-31,Q,2969.57
PAVM,2024-03-31,Q,20.18
FBRT,2024-03-31,Q,1093.78
SAIC,2024-03-31,Q,6685.21
SAIA,2024-03-31,Q,15554.07
SAH,2024-03-31,Q,1929.76
SAMG,2024-03-31,Q,219.92
SAR,2024-03-31,Q,316.76
CRWD,2024-03-31,Q,77540.67
CRWS,2024-03-31,Q,52.23
SANW,2024-03-31,Q,20.95
RZLV,2024-03-31,Q,89.29
RYTM,2024-03-31,Q,2641.96
CSPI,2024-03-31,Q,179.32
RYN,2024-03-31,Q,4948.67
CSR,2024-03-31,Q,852.08
CSSEQ,2024-03-31,Q,5.07
RYAN,2024-03-31,Q,14442.42
RYAM,2024-03-31,Q,313.29
RYI,2024-03-31,Q,1150.25
CSGP,2024-03-31,Q,39445.87
CSGS,2024-03-31,Q,1513.39
SAFE,2024-03-31,Q,1468.95
SACH,2024-03-31,Q,211.61
CSL,2024-03-31,Q,18652.78
SABR,2024-03-31,Q,924.28
SABS,2024-03-31,Q,41.88
CSTAF,2024-03-31,Q,136.52
SASR,2024-03-31,Q,1043.01
SBRA,2024-03-31,Q,3419.19
CRGY,2024-03-31,Q,2110.55
CRH,2024-03-31,Q,59232.8
SBSAA,2024-03-31,Q,2.74
CRI,2024-03-31,Q,3090.7
CRK,2024-03-31,Q,2711.64
CRKN,2024-03-31,Q,3.1
CRL,2024-03-31,Q,13957.09
SBUX,2024-03-31,Q,103517.46
CREX,2024-03-31,Q,39.38
SBT,2024-03-31,Q,268.56
SBSI,2024-03-31,Q,885.22
SBIG,2024-03-31,Q,7.3
CRS,2024-03-31,Q,3543.02
SAVEQ,2024-03-31,Q,529.99
CRTO,2024-03-31,Q,1968.92
SATS,2024-03-31,Q,3869.2
CRSR,2024-03-31,Q,1282.19
SBAC,2024-03-31,Q,23282.9
CRM,2024-03-31,Q,292144.59
SBH,2024-03-31,Q,1302.65
SBGI,2024-03-31,Q,890.1
CRMT,2024-03-31,Q,408.26
SBFG,2024-03-31,Q,93.53
SBEV,2024-03-31,Q,20.76
CROX,2024-03-31,Q,8729.02
CRON,2024-03-31,Q,997.05
SBCF,2024-03-31,Q,2156.5
SBC,2024-03-31,Q,63.53
RXT,2024-03-31,Q,353.33
CULL,2024-03-31,Q,72.29
RSI,2024-03-31,Q,1464.28
RSG,2024-03-31,Q,60290.66
CUK,2024-03-31,Q,2764.46
RS,2024-03-31,Q,19190.82
RRX,2024-03-31,Q,11977.08
CURV,2024-03-31,Q,509.21
RRR,2024-03-31,Q,6316.77
CTV,2024-03-31,Q,348.94
CTVA,2024-03-31,Q,40194.61
RSVR,2024-03-31,Q,514.04
CUEN,2024-03-31,Q,0.82
CUBE,2024-03-31,Q,10173.25
CUBI,2024-03-31,Q,1670.59
CUE,2024-03-31,Q,91.94
CUTR,2024-03-31,Q,29.32
CUZ,2024-03-31,Q,3655.8
RPID,2024-03-31,Q,41.51
CVI,2024-03-31,Q,3584.9
RPD,2024-03-31,Q,3053.65
RPAY,2024-03-31,Q,1006.43
CVLG,2024-03-31,Q,606.0
CVM,2024-03-31,Q,103.1
CVNA,2024-03-31,Q,17807.64
RPM,2024-03-31,Q,15316.36
CVGW,2024-03-31,Q,495.02
RRGB,2024-03-31,Q,119.53
RRC,2024-03-31,Q,8353.65
CVBF,2024-03-31,Q,2491.97
RR,2024-03-31,Q,94.63
CVGI,2024-03-31,Q,217.88
RPRX,2024-03-31,Q,18144.16
CVCO,2024-03-31,Q,3330.8
CVEO,2024-03-31,Q,392.65
RVYL,2024-03-31,Q,17.52
RVTY,2024-03-31,Q,12970.11
CTCX,2024-03-31,Q,49.56
RVSB,2024-03-31,Q,99.64
RVP,2024-03-31,Q,35.92
RVNC,2024-03-31,Q,512.74
CTGO,2024-03-31,Q,191.09
CTBI,2024-03-31,Q,768.59
RXST,2024-03-31,Q,1917.41
CSTL,2024-03-31,Q,611.5
RXRX,2024-03-31,Q,2367.96
RXO,2024-03-31,Q,2570.66
RWAY,2024-03-31,Q,490.97
CSV,2024-03-31,Q,410.08
CSWC,2024-03-31,Q,1072.81
RWWI,2024-03-31,Q,564.37
CSX,2024-03-31,Q,72469.15
RWT,2024-03-31,Q,838.15
CTAS,2024-03-31,Q,69645.22
CTRE,2024-03-31,Q,3289.77
RTX,2024-03-31,Q,129666.73
CTRA,2024-03-31,Q,20961.51
CTS,2024-03-31,Q,1440.62
CTSH,2024-03-31,Q,36439.71
CTSO,2024-03-31,Q,51.59
CTKB,2024-03-31,Q,880.78
CTLP,2024-03-31,Q,468.08
CTLT,2024-03-31,Q,10216.31
CTM,2024-03-31,Q,13.8
CTOS,2024-03-31,Q,1455.44
RUN,2024-03-31,Q,2921.5
CTO,2024-03-31,Q,388.94
CTNT,2024-03-31,Q,35.29
RUSHA,2024-03-31,Q,4202.83
RUSHB,2024-03-31,Q,4184.77
COCH,2024-03-31,Q,76.83
SFST,2024-03-31,Q,259.04
COCO,2024-03-31,Q,1384.79
CODI,2024-03-31,Q,1814.49
SFNC,2024-03-31,Q,2438.88
COEP,2024-03-31,Q,10.73
SFM,2024-03-31,Q,6478.77
COF,2024-03-31,Q,56636.56
CNVS,2024-03-31,Q,18.53
SGC,2024-03-31,Q,276.63
CNX,2024-03-31,Q,3634.98
SGBX,2024-03-31,Q,4.38
SGAPY,2024-03-31,Q,31095.86
CNXC,2024-03-31,Q,4369.98
COFS,2024-03-31,Q,206.77
COLL,2024-03-31,Q,1269.64
COMM,2024-03-31,Q,278.08
SERA,2024-03-31,Q,296.36
COMP,2024-03-31,Q,1772.31
SER,2024-03-31,Q,113.25
SENS,2024-03-31,Q,281.92
COHN,2024-03-31,Q,13.76
COHR,2024-03-31,Q,9202.93
COLD,2024-03-31,Q,7078.13
SEZL,2024-03-31,Q,478.52
COLB,2024-03-31,Q,4050.17
SF,2024-03-31,Q,8024.11
SFBC,2024-03-31,Q,104.11
COIN,2024-03-31,Q,65105.23
SFBS,2024-03-31,Q,3617.24
COHU,2024-03-31,Q,1569.37
COKE,2024-03-31,Q,7933.98
CONNQ,2024-03-31,Q,83.37
CNET,2024-03-31,Q,7.35
SHEN,2024-03-31,Q,947.48
CNFR,2024-03-31,Q,13.81
SHECY,2024-03-31,Q,87554.0
SHFS,2024-03-31,Q,53.49
CNH,2024-03-31,Q,16296.96
SHCO,2024-03-31,Q,1109.47
SHC,2024-03-31,Q,3399.68
CNK,2024-03-31,Q,2198.56
